"St.num.";"Station name";"St.num.";"Station name";"Reise Tid";"Billetpris Forerningsreisende";"Bilettpris fritidsreiser";"Antall avganger per rerning";"Antall togbytter";"Avstand";"Comment"
1;"Bergen";2;"Arna";5,22208333333333;69,9;41,94;72;0;9,35;
1;"Bergen";3;"Tysse";13,3445166666667;120,271;72,1626;36;0;26,926;
1;"Bergen";4;"Kvam-Jondal";21,99145;201,975;121,185;36;0;54,342;
1;"Bergen";5;"Odda";31,5651;290,604;174,3624;36;0;85,596;
1;"Bergen";6;"Røldal";42,1652666666667;391,116;234,6696;36;0;121,426;
1;"Bergen";7;"Sauda";52,2778166666667;480,975;288,585;16;0;154,669;
1;"Bergen";8;"Ølen";62,0158166666667;566,031;339,6186;16;0;186,859;
1;"Bergen";9;"Aksdal";71,6023583333333;651,6;390,96;16;0;219,149;
1;"Bergen";10;"Haugesund";77,6611916666667;674,559;404,7354;16;0;228,829;
1;"Bergen";11;"Kårstø";83,6129066666667;669,471;401,6826;16;0;226,853;
1;"Bergen";12;"Stavanger";96,6631983333333;791,824;475,0944;32;0;275,973;
1;"Bergen";13;"Haukeligrend";58,223275;547,6;328,56;24;0;179,804;
1;"Bergen";14;"Åmot";68,1323416666667;636,204;381,7224;24;0;213,178;
1;"Bergen";15;"Brunkeberg";78,0317083333333;717,484;430,4904;24;0;245,81;
1;"Bergen";16;"Bø";88,577575;806,476;483,8856;24;0;281,427;
1;"Bergen";17;"Nordagutu";104,637525;847,599;508,5594;8;0,5;298,404;
1;"Bergen";18;"Skien";114,676941666667;918,759;551,2554;16;0,5;328,834;
1;"Bergen";19;"Notodden";97,118375;876,279;525,7674;16;0;310,77;
1;"Bergen";20;"Kongsberg";107,177078333333;942,079;565,2474;16;0;338,2622;
1;"Bergen";21;"Eiker";114,639633333333;992,679;595,6074;16;0;360,608;
1;"Bergen";22;"Drammen";118,970375;1015,359;609,2154;32;0;370,5;
1;"Bergen";23;"Nesbru";133,661208333333;1064,551;638,7306;32;0,5;392,51;
1;"Bergen";24;"Majorstua";136,557958333333;1097,536;658,5216;32;0;407,81;
1;"Bergen";25;"Oslo S";140,414125;1106,256;663,7536;32;0;411,33;
1;"Bergen";26;"Holmestrand";144,720375;1086,591;651,9546;32;1;402,4;"ic. Dr 10min"
1;"Bergen";27;"Tønsberg";162,993408333333;1095,351;657,2106;32;0,5;406,014;"ic. Dr 10min"
1;"Bergen";28;"Sandefjord";152,726941666667;1037,839;622,7034;16;0,5;380,704;"ic. Bø 10min"
1;"Bergen";29;"Larvik";134,726941666667;994,956;596,9736;16;0,5;361,564;"ic. Bø 10min"
1;"Bergen";30;"Porsgrunn";122,226941666667;937,431;562,4586;16;0,5;336,724;"ic. Bø 10min"
1;"Bergen";31;"Drangedal";132,577575;907,024;544,2144;16;1;323,724;
1;"Bergen";32;"Gjerstad";157,577575;981,264;588,7584;16;1;355,814;
1;"Bergen";33;"Arendal";237,577575;1160,031;696,0186;16;1;436,394;
1;"Bergen";34;"Kristiansand";252,577575;1259,775;755,865;16;1;484,054;
2;"Arna";1;"Bergen";5,18533333333336;69,9;41,94;72;0;9,34999999999997;
2;"Arna";3;"Tysse";7,07243333333334;93,676;56,2056;36;0;17,576;
2;"Arna";4;"Kvam-Jondal";15,7193666666667;172,975;103,785;36;0;44,992;
2;"Arna";5;"Odda";25,2930166666667;265,071;159,0426;36;0;76,246;
2;"Arna";6;"Røldal";35,8931833333333;366,231;219,7386;36;0;112,076;
2;"Arna";7;"Sauda";46,0057333333333;456,684;274,0104;16;0;145,319;
2;"Arna";8;"Ølen";55,7437333333333;542,316;325,3896;16;0;177,509;
2;"Arna";9;"Aksdal";65,330275;625,9;375,54;16;0;209,799;
2;"Arna";10;"Haugesund";71,3891083333333;651,6;390,96;16;0;219,479;
2;"Arna";11;"Kårstø";77,3408233333333;646,476;387,8856;16;0;217,503;
2;"Arna";12;"Stavanger";90,391115;769,711;461,8266;32;0;266,623;
2;"Arna";13;"Haukeligrend";51,9511916666667;523,759;314,2554;24;0;170,454;
2;"Arna";14;"Åmot";61,8602583333333;610,384;366,2304;24;0;203,828;
2;"Arna";15;"Brunkeberg";71,759625;694,831;416,8986;24;0;236,46;
2;"Arna";16;"Bø";82,3054916666667;784,471;470,6826;24;0;272,077;
2;"Arna";17;"Nordagutu";98,3654416666667;825,9;495,54;8;0,5;289,054;
2;"Arna";18;"Skien";108,404858333333;897,6;538,56;16;0,5;319,484;
2;"Arna";19;"Notodden";90,8462916666667;854,796;512,8776;16;0;301,42;
2;"Arna";20;"Kongsberg";100,904995;918,759;551,2554;16;0;328,9122;
2;"Arna";21;"Eiker";108,36755;972,096;583,2576;16;0;351,258;
2;"Arna";22;"Drammen";112,698291666667;994,956;596,9736;32;0;361,15;
2;"Arna";23;"Nesbru";127,389125;1044,544;626,7264;32;0,5;383,16;
2;"Arna";24;"Majorstua";130,285875;1077,799;646,6794;32;0;398,46;
2;"Arna";25;"Oslo S";134,142041666667;1084,396;650,6376;32;0;401,98;
2;"Arna";26;"Holmestrand";138,448291666667;1066,764;640,0584;32;1;393,05;
2;"Arna";27;"Tønsberg";156,721325;1073,391;644,0346;32;0,5;396,664;
2;"Arna";28;"Sandefjord";146,454858333333;1017,616;610,5696;16;0,5;371,354;
2;"Arna";29;"Larvik";128,454858333333;974,391;584,6346;16;0,5;352,214;
2;"Arna";30;"Porsgrunn";115,954858333333;916,416;549,8496;16;0,5;327,374;
2;"Arna";31;"Drangedal";126,305491666667;885,775;531,465;16;1;314,374;
2;"Arna";32;"Gjerstad";151,305491666667;960,591;576,3546;16;1;346,464;
2;"Arna";33;"Arendal";231,305491666667;1140,816;684,4896;16;1;427,044;
2;"Arna";34;"Kristiansand";246,305491666667;1239,375;743,625;16;1;474,704;
3;"Tysse";1;"Bergen";13,1467666666667;120,271;72,1626;36;0;26,926;
3;"Tysse";2;"Arna";6,91143333333332;93,676;56,2056;36;0;17,576;
3;"Tysse";4;"Kvam-Jondal";9,37843333333333;123,216;73,9296;18;0;27,416;
3;"Tysse";5;"Odda";18,9520833333333;213,519;128,1114;18;0;58,67;
3;"Tysse";6;"Røldal";29,55225;315,975;189,585;18;0;94,5;
3;"Tysse";7;"Sauda";39,6648;407,616;244,5696;8;0;127,743;
3;"Tysse";8;"Ølen";49,4028;494,4;296,64;8;0;159,933;
3;"Tysse";9;"Aksdal";58,9893416666667;581,751;349,0506;8;0;192,223;
3;"Tysse";10;"Haugesund";65,048175;605,196;363,1176;8;0;201,903;
3;"Tysse";11;"Kårstø";70,99989;600;360;8;0;199,927;
3;"Tysse";12;"Stavanger";84,0501816666667;727,5;436,5;16;0;249,047;
3;"Tysse";13;"Haukeligrend";45,6102583333333;475,591;285,3546;12;0;152,878;
3;"Tysse";14;"Åmot";55,519325;566,031;339,6186;12;0;186,252;
3;"Tysse";15;"Brunkeberg";65,4186916666667;649,039;389,4234;12;0;218,884;
3;"Tysse";16;"Bø";75,9645583333333;739,975;443,985;12;0;254,501;
3;"Tysse";17;"Nordagutu";92,7047583333333;782,016;469,2096;8;0,75;271,478;
3;"Tysse";18;"Skien";102,063925;854,796;512,8776;12;0,5;301,908;
3;"Tysse";19;"Notodden";84,5053583333334;811,344;486,8064;8;0;283,844;
3;"Tysse";20;"Kongsberg";94,5640616666667;878,656;527,1936;8;0;311,3362;
3;"Tysse";21;"Eiker";102,026616666667;930,444;558,2664;8;0;333,682;
3;"Tysse";22;"Drammen";106,357358333333;953,664;572,1984;16;0;343,574;
3;"Tysse";23;"Nesbru";121,048191666667;1004,044;602,4264;16;0,5;365,584;
3;"Tysse";24;"Majorstua";123,944941666667;1037,839;622,7034;16;0;380,884;
3;"Tysse";25;"Oslo S";127,801108333333;1046,775;628,065;16;0;384,404;
3;"Tysse";26;"Holmestrand";132,107358333333;1026,624;615,9744;16;1;375,474;
3;"Tysse";27;"Tønsberg";150,380391666667;1035,6;621,36;16;0,5;379,088;
3;"Tysse";28;"Sandefjord";140,113925;976,684;586,0104;12;0,5;353,778;
3;"Tysse";29;"Larvik";122,113925;932,775;559,665;12;0,5;334,638;
3;"Tysse";30;"Porsgrunn";109,613925;873,9;524,34;12;0,5;309,798;
3;"Tysse";31;"Drangedal";119,964558333333;842,791;505,6746;8;1;296,798;
3;"Tysse";32;"Gjerstad";144,964558333333;918,759;551,2554;8;1;328,888;
3;"Tysse";33;"Arendal";224,964558333333;1101,9;661,14;8;1;409,468;
3;"Tysse";34;"Kristiansand";239,964558333333;1204,236;722,5416;8;1;457,128;
4;"Kvam-Jondal";1;"Bergen";21,680825;201,975;121,185;36;0;54,342;
4;"Kvam-Jondal";2;"Arna";15,4454916666666;172,975;103,785;36;0;44,992;
4;"Kvam-Jondal";3;"Tysse";9,2961833333333;123,216;73,9296;18;0;27,416;
4;"Kvam-Jondal";5;"Odda";10,35065;134,976;80,9856;18;0;31,254;
4;"Kvam-Jondal";6;"Røldal";20,9508166666667;239,376;143,6256;18;0;67,084;
4;"Kvam-Jondal";7;"Sauda";31,0633666666667;332,799;199,6794;8;0;100,327;
4;"Kvam-Jondal";8;"Ølen";40,8013666666667;421,311;252,7866;8;0;132,517;
4;"Kvam-Jondal";9;"Aksdal";50,3879083333333;507,775;304,665;8;0;164,807;
4;"Kvam-Jondal";10;"Haugesund";56,4467416666667;534,375;320,625;8;0;174,487;
4;"Kvam-Jondal";11;"Kårstø";62,3984566666667;529,071;317,4426;8;0;172,511;
4;"Kvam-Jondal";12;"Stavanger";75,4487483333333;656,716;394,0296;16;0;221,631;
4;"Kvam-Jondal";13;"Haukeligrend";37,008825;402,124;241,2744;12;0;125,462;
4;"Kvam-Jondal";14;"Åmot";46,9178916666667;491,719;295,0314;12;0;158,836;
4;"Kvam-Jondal";15;"Brunkeberg";56,8172583333333;579,136;347,4816;12;0;191,468;
4;"Kvam-Jondal";16;"Bø";67,363125;672,016;403,2096;12;0;227,085;
4;"Kvam-Jondal";17;"Nordagutu";84,103325;714,975;428,985;8;0,75;244,062;
4;"Kvam-Jondal";18;"Skien";93,4624916666667;789,375;473,625;12;0,5;274,492;
4;"Kvam-Jondal";19;"Notodden";75,903925;744,951;446,9706;8;0;256,428;
4;"Kvam-Jondal";20;"Kongsberg";85,9626283333333;811,344;486,8064;8;0;283,9202;
4;"Kvam-Jondal";21;"Eiker";93,4251833333333;866,751;520,0506;8;0;306,266;
4;"Kvam-Jondal";22;"Drammen";97,755925;890,511;534,3066;16;0;316,158;
4;"Kvam-Jondal";23;"Nesbru";112,446758333333;942,079;565,2474;16;0,5;338,168;
4;"Kvam-Jondal";24;"Majorstua";115,343508333333;976,684;586,0104;16;0;353,468;
4;"Kvam-Jondal";25;"Oslo S";119,199675;983,551;590,1306;16;0;356,988;
4;"Kvam-Jondal";26;"Holmestrand";123,505925;965,199;579,1194;16;1;348,058;
4;"Kvam-Jondal";27;"Tønsberg";141,778958333333;972,096;583,2576;16;0,5;351,672;
4;"Kvam-Jondal";28;"Sandefjord";131,512491666667;914,071;548,4426;12;0,5;326,362;
4;"Kvam-Jondal";29;"Larvik";113,512491666667;869,136;521,4816;12;0,5;307,222;
4;"Kvam-Jondal";30;"Porsgrunn";101,012491666667;808,911;485,3466;12;0,5;282,382;
4;"Kvam-Jondal";31;"Drangedal";111,363125;777,1;466,26;8;1;269,382;
4;"Kvam-Jondal";32;"Gjerstad";136,363125;854,796;512,8776;8;1;301,472;
4;"Kvam-Jondal";33;"Arendal";216,363125;1042,311;625,3866;8;1;382,052;
4;"Kvam-Jondal";34;"Kristiansand";231,363125;1145,1;687,06;8;1;429,712;
5;"Odda";1;"Bergen";31,2746;290,604;174,3624;36;0;85,596;
5;"Odda";2;"Arna";25,0392666666667;265,071;159,0426;36;0;76,246;
5;"Odda";3;"Tysse";18,8899583333333;213,519;128,1114;18;0;58,67;
5;"Odda";4;"Kvam-Jondal";10,2509;134,976;80,9856;18;0;31,254;
5;"Odda";6;"Røldal";11,8864166666667;146,704;88,0224;18;0;35,83;
5;"Odda";7;"Sauda";21,9989666666667;245,1;147,06;8;0;69,073;
5;"Odda";8;"Ølen";31,7369666666667;335,596;201,3576;8;0;101,263;
5;"Odda";9;"Aksdal";41,3235083333333;424,044;254,4264;8;0;133,553;
5;"Odda";10;"Haugesund";47,3823416666667;451,264;270,7584;8;0;143,233;
5;"Odda";11;"Kårstø";53,3340566666667;445,836;267,5016;8;0;141,257;
5;"Odda";12;"Stavanger";66,3843483333333;576,519;345,9114;16;0;190,377;
5;"Odda";13;"Haukeligrend";27,944425;315,975;189,585;12;0;94,208;
5;"Odda";14;"Åmot";37,8534916666667;407,616;244,5696;12;0;127,582;
5;"Odda";15;"Brunkeberg";47,7528583333333;497,079;298,2474;12;0;160,214;
5;"Odda";16;"Bø";58,298725;589,584;353,7504;12;0;195,831;
5;"Odda";17;"Nordagutu";75,038925;633,631;380,1786;8;0,75;212,808;
5;"Odda";18;"Skien";84,3980916666667;712,464;427,4784;12;0,5;243,238;
5;"Odda";19;"Notodden";66,839525;666,924;400,1544;8;0;225,174;
5;"Odda";20;"Kongsberg";76,8982283333334;734,991;440,9946;8;0;252,6662;
5;"Odda";21;"Eiker";84,3607833333333;791,824;475,0944;8;0;275,012;
5;"Odda";22;"Drammen";88,691525;813,775;488,265;16;0;284,904;
5;"Odda";23;"Nesbru";103,382358333333;866,751;520,0506;16;0,5;306,914;
5;"Odda";24;"Majorstua";106,279108333333;904,671;542,8026;16;0;322,214;
5;"Odda";25;"Oslo S";110,135275;911,724;547,0344;16;0;325,734;
5;"Odda";26;"Holmestrand";114,441525;890,511;534,3066;16;1;316,804;
5;"Odda";27;"Tønsberg";132,714558333333;899,959;539,9754;16;0,5;320,418;
5;"Odda";28;"Sandefjord";122,448091666667;840,384;504,2304;12;0,5;295,108;
5;"Odda";29;"Larvik";104,448091666667;791,824;475,0944;12;0,5;275,968;
5;"Odda";30;"Porsgrunn";91,9480916666667;732,496;439,4976;12;0,5;251,128;
5;"Odda";31;"Drangedal";102,298725;699,879;419,9274;8;1;238,128;
5;"Odda";32;"Gjerstad";127,298725;779,559;467,7354;8;1;270,218;
5;"Odda";33;"Arendal";207,298725;969,799;581,8794;8;1;350,798;
5;"Odda";34;"Kristiansand";222,298725;1077,799;646,6794;8;1;398,458;
6;"Røldal";1;"Bergen";41,1948916666667;391,116;234,6696;36;0;121,426;
6;"Røldal";2;"Arna";34,9595583333333;366,231;219,7386;36;0;112,076;
6;"Røldal";3;"Tysse";28,81025;315,975;189,585;18;0;94,5;
6;"Røldal";4;"Kvam-Jondal";20,1711916666667;239,376;143,6256;18;0;67,084;
6;"Røldal";5;"Odda";11,1199166666667;146,704;88,0224;18;0;35,83;
6;"Røldal";7;"Sauda";10,78105;140,844;84,5064;8;0;33,243;
6;"Røldal";8;"Ølen";20,51905;233,644;140,1864;8;0;65,433;
6;"Røldal";9;"Aksdal";30,1055916666667;324,396;194,6376;8;0;97,723;
6;"Røldal";10;"Haugesund";36,164425;352,336;211,4016;8;0;107,403;
6;"Røldal";11;"Kårstø";42,11614;346,764;208,0584;8;0;105,427;
6;"Røldal";12;"Stavanger";55,1664316666667;480,975;288,585;16;0;154,547;
6;"Røldal";13;"Haukeligrend";17,1176333333333;213,519;128,1114;12;0;58,378;
6;"Røldal";14;"Åmot";27,0267;307,536;184,5216;12;0;91,752;
6;"Røldal";15;"Brunkeberg";36,9260666666667;399,375;239,625;12;0;124,384;
6;"Røldal";16;"Bø";47,4719333333333;497,079;298,2474;12;0;160,001;
6;"Røldal";17;"Nordagutu";64,2121333333333;539,671;323,8026;8;0,75;176,978;
6;"Røldal";18;"Skien";73,5713;620,736;372,4416;12;0,5;207,408;
6;"Røldal";19;"Notodden";56,0127333333333;573,9;344,34;8;0;189,344;
6;"Røldal";20;"Kongsberg";66,0714366666667;643,911;386,3466;8;0;216,8362;
6;"Røldal";21;"Eiker";73,5339916666667;702,4;421,44;8;0;239,182;
6;"Røldal";22;"Drammen";77,8647333333333;727,5;436,5;16;0;249,074;
6;"Røldal";23;"Nesbru";92,5555666666667;782,016;469,2096;16;0,5;271,084;
6;"Røldal";24;"Majorstua";95,4523166666667;818,631;491,1786;16;0;286,384;
6;"Røldal";25;"Oslo S";99,3084833333333;825,9;495,54;16;0;289,904;
6;"Røldal";26;"Holmestrand";103,614733333333;804,039;482,4234;16;1;280,974;
6;"Røldal";27;"Tønsberg";121,887766666667;813,775;488,265;16;0,5;284,588;
6;"Røldal";28;"Sandefjord";111,6213;752,4;451,44;12;0,5;259,278;
6;"Røldal";29;"Larvik";93,6213;704,919;422,9514;12;0,5;240,138;
6;"Røldal";30;"Porsgrunn";81,1213;641,344;384,8064;12;0,5;215,298;
6;"Røldal";31;"Drangedal";91,4719333333333;607,791;364,6746;8;1;202,298;
6;"Røldal";32;"Gjerstad";116,471933333333;689,775;413,865;8;1;234,388;
6;"Røldal";33;"Arendal";196,471933333333;885,775;531,465;8;1;314,968;
6;"Røldal";34;"Kristiansand";211,471933333333;997,231;598,3386;8;1;362,628;
7;"Sauda";1;"Bergen";51,8597766666667;480,975;288,585;16;0;154,6816;
7;"Sauda";2;"Arna";45,6244433333333;456,684;274,0104;16;0;145,3316;
7;"Sauda";3;"Tysse";39,475135;407,616;244,5696;8;0;127,7556;
7;"Sauda";4;"Kvam-Jondal";30,8360766666667;332,799;199,6794;8;0;100,3396;
7;"Sauda";5;"Odda";21,7848016666667;245,1;147,06;8;0;69,0856;
7;"Sauda";6;"Røldal";11,41301;140,844;84,5064;8;0;33,2556;
7;"Sauda";8;"Ølen";10,71275;137,911;82,7466;18;0;32,1899999999999;
7;"Sauda";9;"Aksdal";20,2992916666667;230,775;138,465;20;0;64,48;
7;"Sauda";10;"Haugesund";26,358125;259,375;155,625;20;0;74,16;
7;"Sauda";11;"Kårstø";32,30984;253,671;152,2026;18;0;72,184;
7;"Sauda";12;"Stavanger";45,3601316666667;391,116;234,6696;36;0;121,304;
7;"Sauda";13;"Haukeligrend";22,5086266666667;270,759;162,4554;8;0;78,3376;
7;"Sauda";14;"Åmot";34,5526933333333;363,456;218,0736;8;0;111,7616;
7;"Sauda";15;"Brunkeberg";46,54681;453,975;272,385;8;0;144,3936;
7;"Sauda";16;"Bø";49,7234266666667;550,239;330,1434;12;0;180,0106;
7;"Sauda";17;"Nordagutu";64,9844391666667;592,191;355,3146;8;0,75;196,9876;
7;"Sauda";18;"Skien";75,8831683333333;672,016;403,2096;12;0,5;227,4176;"ic. Bø 10min"
7;"Sauda";19;"Notodden";59,5154766666667;625,9;375,54;8;0;209,3536;
7;"Sauda";20;"Kongsberg";69,57418;694,831;416,8986;8;0;236,8458;
7;"Sauda";21;"Eiker";77,036735;752,4;451,44;8;0;259,1916;
7;"Sauda";22;"Drammen";81,3674766666667;777,1;466,26;16;0;269,0836;
7;"Sauda";23;"Nesbru";96,05831;830,736;498,4416;16;0,5;291,0936;
7;"Sauda";24;"Majorstua";98,95506;866,751;520,0506;16;0;306,3936;
7;"Sauda";25;"Oslo S";102,811226666667;873,9;524,34;16;0;309,9136;
