"St.num.";"Station name";"St.num.";"Station name";;0,50;"Time1";"Time add";"Time2";;"Dist. ticket";"Ticket Wo";"Ticket Nw";"Serv.";"Interch.";"Dist. real";"Comment"
1;"Bergen";2;"Arna";;;5,22;;5,22;;9,3500;69,90;41,94;72;;9,350;
1;"Bergen";3;"Tysse";13,34;0,00;13,34;;13,34;;26,9260;120,27;72,16;36;;26,926;
1;"Bergen";4;"Kvam-Jondal";20,21;3,56;21,99;;21,99;;54,3420;201,98;121,19;36;;54,342;
1;"Bergen";5;"Odda";27,96;7,22;31,57;;31,57;;85,5960;290,60;174,36;36;;85,596;
1;"Bergen";6;"Røldal";36,22;11,89;42,17;;42,17;;121,4260;391,12;234,67;36;;121,426;
1;"Bergen";7;"Sauda";44,61;15,33;52,28;;52,28;;154,6690;480,98;288,59;16;;154,669;
1;"Bergen";8;"Ølen";52,33;19,38;62,02;;62,02;;186,8590;566,03;339,62;16;;186,859;
1;"Bergen";9;"Aksdal";59,91;23,39;71,60;;71,60;;219,1490;651,60;390,96;16;;219,149;
1;"Bergen";10;"Haugesund";62,12;27,24;75,74;1,93;77,66;;228,8290;674,56;404,74;16;;228,829;
1;"Bergen";11;"Kårstø";62,00;23,39;73,70;9,92;83,61;;226,8530;669,47;401,68;16;;226,853;
1;"Bergen";12;"Stavanger";73,19;27,10;86,75;9,92;96,66;;275,9730;791,82;475,09;32;;275,973;
1;"Bergen";13;"Haukeligrend";50,17;16,11;58,22;;58,22;;179,8040;547,60;328,56;24;;179,804;
1;"Bergen";14;"Åmot";57,94;20,38;68,13;;68,13;;213,1780;636,20;381,72;24;;213,178;
1;"Bergen";15;"Brunkeberg";65,75;24,57;78,03;;78,03;;245,8100;717,48;430,49;24;;245,810;
1;"Bergen";16;"Bø";74,24;28,67;88,58;;88,58;;281,4270;806,48;483,89;24;;281,427;
1;"Bergen";17;"Nordagutu";77,90;33,43;94,62;10,02;104,64;;298,4040;847,60;508,56;8;0,50;298,404;
1;"Bergen";18;"Skien";86,60;36,11;104,66;10,02;114,68;;328,8340;918,76;551,26;16;0,50;328,834;
1;"Bergen";19;"Notodden";80,28;33,67;97,12;;97,12;;310,7700;876,28;525,77;16;;310,770;
1;"Bergen";20;"Kongsberg";88,31;37,73;107,18;;107,18;;338,2622;942,08;565,25;16;;338,262;
1;"Bergen";21;"Eiker";92,44;44,41;114,64;;114,64;;360,6080;992,68;595,61;16;;360,608;
1;"Bergen";22;"Drammen";95,03;47,87;118,97;;118,97;;370,5000;1015,36;609,22;32;;370,500;
1;"Bergen";23;"Nesbru";104,73;47,87;128,66;5,00;133,66;;392,5100;1064,55;638,73;32;0,50;392,510;
1;"Bergen";24;"Majorstua";108,59;51,41;134,29;2,27;136,56;;407,8100;1097,54;658,52;32;;407,810;
1;"Bergen";25;"Oslo S";112,44;51,41;138,15;2,27;140,41;;411,3300;1106,26;663,75;32;;411,330;
1;"Bergen";26;"Holmestrand";;;134,72;10,00;144,72;;402,4000;1086,59;651,95;32;1,00;402,400;"ic. Dr 10min"
1;"Bergen";27;"Tønsberg";;;163,66;-0,66;162,99;;406,0140;1095,35;657,21;32;0,50;406,014;"ic. Dr 10min"
1;"Bergen";28;"Sandefjord";;;141,66;11,07;152,73;;380,7040;1037,84;622,70;16;0,50;380,704;"ic. Bø 10min"
1;"Bergen";29;"Larvik";;;123,66;11,07;134,73;;361,5640;994,96;596,97;16;0,50;361,564;"ic. Bø 10min"
1;"Bergen";30;"Porsgrunn";;;111,16;11,07;122,23;;336,7240;937,43;562,46;16;0,50;336,724;"ic. Bø 10min"
1;"Bergen";31;"Drangedal";;;117,58;15,00;132,58;;323,7240;907,02;544,21;16;1,00;323,724;
1;"Bergen";32;"Gjerstad";;;142,58;15,00;157,58;;355,8140;981,26;588,76;16;1,00;355,814;
1;"Bergen";33;"Arendal";;;222,58;15,00;237,58;;436,3940;1160,03;696,02;16;1,00;436,394;
1;"Bergen";34;"Kristiansand";;;237,58;15,00;252,58;;484,0540;1259,78;755,87;16;1,00;484,054;
2;"Arna";1;"Bergen";;;5,19;;5,19;;9,3500;69,90;41,94;72;;9,350;
2;"Arna";3;"Tysse";;;7,07;;7,07;;17,5760;93,68;56,21;36;;17,576;
2;"Arna";4;"Kvam-Jondal";13,94;3,56;15,72;;15,72;;44,9920;172,98;103,79;36;;44,992;
2;"Arna";5;"Odda";21,68;7,22;25,29;;25,29;;76,2460;265,07;159,04;36;;76,246;
2;"Arna";6;"Røldal";29,95;11,89;35,89;;35,89;;112,0760;366,23;219,74;36;;112,076;
2;"Arna";7;"Sauda";38,34;15,33;46,01;;46,01;;145,3190;456,68;274,01;16;;145,319;
2;"Arna";8;"Ølen";46,06;19,38;55,74;;55,74;;177,5090;542,32;325,39;16;;177,509;
2;"Arna";9;"Aksdal";53,64;23,39;65,33;;65,33;;209,7990;625,90;375,54;16;;209,799;
2;"Arna";10;"Haugesund";55,84;27,24;69,46;1,93;71,39;;219,4790;651,60;390,96;16;;219,479;
2;"Arna";11;"Kårstø";55,73;23,39;67,42;9,92;77,34;;217,5030;646,48;387,89;16;;217,503;
2;"Arna";12;"Stavanger";66,92;27,10;80,47;9,92;90,39;;266,6230;769,71;461,83;32;;266,623;
2;"Arna";13;"Haukeligrend";43,90;16,11;51,95;;51,95;;170,4540;523,76;314,26;24;;170,454;
2;"Arna";14;"Åmot";51,67;20,38;61,86;;61,86;;203,8280;610,38;366,23;24;;203,828;
2;"Arna";15;"Brunkeberg";59,48;24,57;71,76;;71,76;;236,4600;694,83;416,90;24;;236,460;
2;"Arna";16;"Bø";67,97;28,67;82,31;;82,31;;272,0770;784,47;470,68;24;;272,077;
2;"Arna";17;"Nordagutu";71,63;33,43;88,34;10,02;98,37;;289,0540;825,90;495,54;8;0,50;289,054;
2;"Arna";18;"Skien";80,33;36,11;98,38;10,02;108,40;;319,4840;897,60;538,56;16;0,50;319,484;
2;"Arna";19;"Notodden";74,01;33,67;90,85;;90,85;;301,4200;854,80;512,88;16;;301,420;
2;"Arna";20;"Kongsberg";82,04;37,73;100,90;;100,90;;328,9122;918,76;551,26;16;;328,912;
2;"Arna";21;"Eiker";86,16;44,41;108,37;;108,37;;351,2580;972,10;583,26;16;;351,258;
2;"Arna";22;"Drammen";88,76;47,87;112,70;;112,70;;361,1500;994,96;596,97;32;;361,150;
2;"Arna";23;"Nesbru";98,45;47,87;122,39;5,00;127,39;;383,1600;1044,54;626,73;32;0,50;383,160;
2;"Arna";24;"Majorstua";102,32;51,41;128,02;2,27;130,29;;398,4600;1077,80;646,68;32;;398,460;
2;"Arna";25;"Oslo S";106,17;51,41;131,87;2,27;134,14;;401,9800;1084,40;650,64;32;;401,980;
2;"Arna";26;"Holmestrand";;;128,45;10,00;138,45;;393,0500;1066,76;640,06;32;1,00;393,050;
2;"Arna";27;"Tønsberg";;;157,38;-0,66;156,72;;396,6640;1073,39;644,03;32;0,50;396,664;
2;"Arna";28;"Sandefjord";;;135,38;11,07;146,45;;371,3540;1017,62;610,57;16;0,50;371,354;
2;"Arna";29;"Larvik";;;117,38;11,07;128,45;;352,2140;974,39;584,63;16;0,50;352,214;
2;"Arna";30;"Porsgrunn";;;104,88;11,07;115,95;;327,3740;916,42;549,85;16;0,50;327,374;
2;"Arna";31;"Drangedal";;;111,31;15,00;126,31;;314,3740;885,78;531,47;16;1,00;314,374;
